,REGION,PROVINCIA,COMUNA,HOMBRES,MUJERES,EDAD_0A5,EDAD_6A14,EDAD_15A64,EDAD_65YMAS,INMIGRANTES,P12_1,P12_2,P12_3,P12_4,P12_5,P12_6,P12_7,P12_8,P12_99,P13_1,P13_2,P13_3,P13_99,P14_0,P14_1,P14_2,P14_3,P14_4,P14_5,P14_6,P14_7,P14_8,P14_98,P14_99,P15_1,P15_2,P15_3,P15_4,P15_5,P15_6,P15_7,P15_8,P15_9,P15_10,P15_11,P15_12,P15_13,P15_14,P15_98,P15_99,P15A_1,P15A_2,P15A_98,P15A_99,P16_1,P16_2,P16_99,P16A_1,P16A_2,P16A_3,P16A_4,P16A_5,P16A_6,P16A_7,P16A_8,P16A_9,P16A_10,P16A_98,P16A_99,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P17_7,P17_8,P17_98,P17_99,P18_A,P18_B,P18_C,P18_D,P18_E,P18_F,P18_G,P18_H,P18_I,P18_J,P18_K,P18_L,P18_M,P18_N,P18_O,P18_P,P18_Q,P18_R,P18_S,P18_T,P18_U,P18_Z,P18_98,P18_99
43,13,131,13104,255561,269068,36373,52606,355084,68549,35071,55547.0,58319.0,5517.0,376.0,328.0,234.0,948.0,2499.0,3187.0,34298.0,83753.0,5187.0,3717.0,7137.0,9617.0,15984.0,13749.0,40487.0,9443.0,8113.0,2904.0,8371.0,5187.0,5963.0,2894.0,1715.0,2393.0,719.0,27292.0,5571.0,32717.0,17797.0,3975.0,1119.0,9378.0,12271.0,405.0,55.0,5187.0,3467.0,65181.0,51447.0,5187.0,5140.0,12830.0,109897.0,4228.0,11330.0,270.0,68.0,12.0,237.0,17.0,152.0,20.0,4.0,720.0,109897.0,4228.0,56107.0,767.0,2726.0,4907.0,8982.0,9965.0,12683.0,4198.0,23609.0,3011.0,64344.0,3011.0,175.0,245.0,4946.0,113.0,327.0,4899.0,10858.0,5111.0,2366.0,1168.0,1032.0,224.0,1721.0,4259.0,2443.0,2728.0,2738.0,596.0,1619.0,2565.0,14.0,9453.0
44,13,131,13105,340231,355713,52045,80284,468510,82412,13700,61981.0,93628.0,844.0,474.0,97.0,165.0,369.0,2270.0,2677.0,46990.0,104924.0,6862.0,3729.0,10000.0,13363.0,19797.0,16826.0,50479.0,12078.0,9821.0,4631.0,12918.0,6862.0,5730.0,3990.0,2331.0,3510.0,1080.0,41379.0,6073.0,37267.0,27152.0,4157.0,1203.0,9873.0,13942.0,461.0,49.0,6862.0,3176.0,80517.0,70203.0,6862.0,4923.0,19337.0,138447.0,4721.0,17689.0,308.0,56.0,10.0,98.0,15.0,203.0,17.0,14.0,927.0,138447.0,4721.0,68949.0,891.0,3264.0,6312.0,12112.0,15611.0,14255.0,5384.0,33017.0,2710.0,86691.0,2710.0,264.0,254.0,5963.0,258.0,296.0,7818.0,14508.0,5979.0,2568.0,1517.0,963.0,225.0,1941.0,5431.0,2897.0,3521.0,3263.0,562.0,1781.0,2678.0,11.0,10406.0
45,13,131,13106,252805,261026,33532,42896,368222,56922,80566,46372.0,74526.0,7616.0,589.0,730.0,542.0,2587.0,11556.0,2523.0,37898.0,100014.0,5500.0,3629.0,7654.0,10718.0,18563.0,17238.0,45323.0,14895.0,8996.0,3326.0,9282.0,5500.0,5546.0,3308.0,1814.0,2432.0,564.0,29094.0,4242.0,33813.0,20323.0,4178.0,1323.0,12977.0,22871.0,1346.0,176.0,5500.0,3080.0,79975.0,57069.0,5500.0,4497.0,15734.0,126382.0,4925.0,13178.0,504.0,93.0,43.0,400.0,51.0,268.0,23.0,9.0,1165.0,126382.0,4925.0,71578.0,971.0,3854.0,6477.0,10559.0,10021.0,12416.0,4821.0,24019.0,2325.0,68313.0,2325.0,362.0,591.0,4930.0,245.0,233.0,6314.0,14437.0,6149.0,3940.0,1896.0,1620.0,420.0,2750.0,5410.0,3884.0,3882.0,3589.0,706.0,1970.0,3195.0,13.0,9867.0
46,13,131,13107,306733,328378,54762,90713,429980,48890,37341,34326.0,57599.0,949.0,701.0,130.0,262.0,746.0,2401.0,1557.0,33014.0,59762.0,3687.0,2208.0,7554.0,7570.0,12793.0,9747.0,26153.0,11343.0,6776.0,2831.0,6426.0,3687.0,3791.0,3482.0,1645.0,2352.0,396.0,22624.0,2817.0,19280.0,11194.0,1759.0,458.0,5976.0,18318.0,2474.0,243.0,3687.0,1966.0,51817.0,39794.0,3687.0,3373.0,9559.0,85797.0,3315.0,8534.0,182.0,25.0,8.0,43.0,18.0,127.0,9.0,5.0,608.0,85797.0,3315.0,42815.0,501.0,1990.0,3316.0,8648.0,7289.0,6451.0,2924.0,22991.0,1746.0,51619.0,1746.0,186.0,375.0,2571.0,156.0,179.0,3788.0,7163.0,3238.0,1576.0,1643.0,1449.0,384.0,2423.0,3212.0,1760.0,2497.0,2457.0,517.0,955.0,1453.0,19.0,7305.0
47,13,131,13108,206832,216222,30935,36334,302836,46848,121074,26029.0,41380.0,14644.0,378.0,682.0,990.0,5464.0,8433.0,2281.0,23397.0,69848.0,4428.0,2608.0,4979.0,6598.0,12053.0,12301.0,31873.0,11587.0,5812.0,1845.0,4494.0,4428.0,4311.0,1998.0,1222.0,1706.0,290.0,15415.0,2179.0,26220.0,12732.0,2987.0,767.0,10255.0,16598.0,848.0,149.0,4428.0,2487.0,57428.0,34649.0,4428.0,3776.0,7173.0,89289.0,3819.0,5222.0,351.0,29.0,30.0,475.0,27.0,116.0,16.0,8.0,899.0,89289.0,3819.0,52053.0,510.0,2354.0,3948.0,6178.0,5826.0,7595.0,3236.0,16834.0,1747.0,43617.0,1747.0,193.0,182.0,3908.0,138.0,128.0,4382.0,9792.0,3317.0,4254.0,1401.0,1110.0,345.0,1955.0,3524.0,2032.0,2506.0,3159.0,741.0,1612.0,3504.0,9.0,6725.0
48,13,131,13109,166376,180978,23675,34442,235665,48848,18254,30537.0,52178.0,1279.0,405.0,138.0,209.0,755.0,2295.0,2323.0,24906.0,59393.0,3565.0,2255.0,4792.0,6250.0,11354.0,10058.0,28437.0,9729.0,5610.0,1768.0,4612.0,3565.0,3944.0,1948.0,1140.0,1639.0,357.0,15243.0,2507.0,18750.0,12635.0,3472.0,914.0,8417.0,16035.0,914.0,98.0,3565.0,2485.0,50534.0,32435.0,3565.0,3585.0,8122.0,78895.0,3102.0,6853.0,217.0,43.0,6.0,78.0,13.0,151.0,7.0,4.0,750.0,78895.0,3102.0,41143.0,637.0,1757.0,3053.0,7085.0,6792.0,8742.0,2937.0,16029.0,1944.0,44638.0,1944.0,115.0,154.0,2926.0,133.0,112.0,2583.0,7719.0,3112.0,1669.0,1342.0,1071.0,228.0,2094.0,2470.0,1956.0,3104.0,2540.0,473.0,1197.0,1191.0,13.0,7335.0
49,13,131,13110,949154,1034300,132478,202868,1365046,240201,63971,113472.0,233812.0,3665.0,1335.0,346.0,863.0,2104.0,5720.0,5599.0,106767.0,239991.0,12545.0,7613.0,21098.0,27154.0,47739.0,40850.0,110593.0,43022.0,23124.0,8802.0,20618.0,12545.0,11371.0,9154.0,4684.0,6915.0,1456.0,68272.0,10296.0,76631.0,45511.0,11545.0,3722.0,32757.0,71686.0,4728.0,614.0,12545.0,6400.0,204152.0,140142.0,12545.0,10077.0,37510.0,321034.0,8372.0,33794.0,841.0,137.0,48.0,233.0,59.0,532.0,54.0,24.0,1788.0,321034.0,8372.0,167646.0,2249.0,7509.0,12879.0,32294.0,29095.0,31532.0,10752.0,67291.0,5669.0,183843.0,5669.0,442.0,938.0,10564.0,627.0,505.0,13381.0,30179.0,11029.0,6407.0,6289.0,5518.0,1250.0,8931.0,10716.0,7592.0,13111.0,11219.0,2276.0,4989.0,7075.0,54.0,24312.0
50,13,131,13111,221685,232557,33213,49904,312775,51598,10804,48076.0,62475.0,1290.0,401.0,108.0,129.0,417.0,1291.0,2384.0,32556.0,76092.0,4758.0,3165.0,6822.0,9376.0,14095.0,11945.0,36806.0,8370.0,6928.0,3181.0,9460.0,4758.0,4830.0,2841.0,1605.0,2272.0,698.0,29356.0,4629.0,27220.0,20095.0,2768.0,1026.0,6742.0,9307.0,265.0,43.0,4758.0,2946.0,57867.0,49620.0,4758.0,4326.0,14394.0,98168.0,4009.0,13180.0,239.0,40.0,16.0,89.0,16.0,118.0,14.0,16.0,666.0,98168.0,4009.0,50922.0,716.0,2248.0,4421.0,8710.0,10802.0,9826.0,3886.0,22557.0,2483.0,60202.0,2483.0,104.0,116.0,4544.0,146.0,207.0,5164.0,10475.0,4397.0,1876.0,1080.0,647.0,155.0,1498.0,4400.0,1521.0,2357.0,2566.0,394.0,1634.0,2358.0,4.0,8243.0
51,13,131,13112,623433,650516,112589,179682,860990,95846,15624,71346.0,99888.0,856.0,544.0,85.0,88.0,273.0,1137.0,3118.0,54019.0,110099.0,8885.0,4332.0,12741.0,15162.0,20401.0,16644.0,51882.0,10300.0,10246.0,6271.0,18056.0,8885.0,6747.0,5237.0,3002.0,4272.0,1282.0,57201.0,5814.0,37173.0,32873.0,2431.0,728.0,6801.0,7287.0,154.0,14.0,8885.0,4181.0,79830.0,82482.0,8885.0,6138.0,27540.0,144629.0,5166.0,25857.0,274.0,65.0,17.0,70.0,22.0,187.0,17.0,6.0,1025.0,144629.0,5166.0,72854.0,927.0,3336.0,7289.0,12443.0,17556.0,11407.0,6308.0,41678.0,3537.0,96681.0,3537.0,362.0,175.0,6144.0,273.0,395.0,11355.0,15928.0,5833.0,2907.0,1200.0,572.0,190.0,1253.0,6661.0,1510.0,2737.0,2722.0,475.0,2053.0,3721.0,6.0,10645.0
52,13,131,13113,190555,212838,24119,41273,270038,57292,20966,22831.0,63307.0,1153.0,553.0,225.0,208.0,429.0,3010.0,1071.0,29379.0,59760.0,2200.0,1448.0,5813.0,6595.0,13969.0,10074.0,21487.0,15779.0,8295.0,2648.0,3763.0,2200.0,2164.0,2828.0,1260.0,1676.0,360.0,13026.0,1344.0,13048.0,6384.0,2954.0,599.0,7458.0,31553.0,5979.0,1020.0,2200.0,1098.0,57392.0,31312.0,2200.0,1883.0,5885.0,85352.0,1550.0,4683.0,201.0,60.0,15.0,93.0,25.0,156.0,28.0,10.0,614.0,85352.0,1550.0,43285.0,670.0,1614.0,2433.0,10625.0,5318.0,8597.0,2629.0,16559.0,1057.0,46161.0,1057.0,206.0,439.0,2055.0,203.0,97.0,2058.0,5148.0,1680.0,1408.0,1895.0,1883.0,686.0,4146.0,1723.0,3954.0,4608.0,4197.0,850.0,873.0,2002.0,66.0,5392.0
53,13,131,13114,765698,887427,99739,120381,1150787,257805,194328,74642.0,182292.0,3897.0,4945.0,869.0,874.0,2731.0,20426.0,4162.0,86008.0,196709.0,7052.0,5069.0,16229.0,19703.0,46253.0,28597.0,58330.0,60942.0,30260.0,7950.0,10987.0,7052.0,8535.0,8478.0,3437.0,4225.0,547.0,29977.0,2451.0,30949.0,11990.0,10723.0,1453.0,19942.0,127846.0,27574.0,3668.0,7052.0,4526.0,192515.0,87447.0,7052.0,7824.0,9670.0,278628.0,6540.0,6269.0,357.0,86.0,49.0,205.0,37.0,238.0,25.0,24.0,2380.0,278628.0,6540.0,143546.0,2151.0,5880.0,7067.0,35435.0,16316.0,26943.0,8386.0,45019.0,4095.0,139166.0,4095.0,1042.0,2006.0,5648.0,1064.0,273.0,5333.0,18176.0,5291.0,4224.0,6829.0,9449.0,3604.0,17916.0,4334.0,7226.0,13065.0,14254.0,2585.0,2130.0,6811.0,485.0,19832.0
54,13,131,13115,428157,493106,67212,143027,630931,64214,104919,29749.0,63775.0,2334.0,1554.0,391.0,220.0,740.0,5918.0,1152.0,40245.0,61235.0,2752.0,1601.0,8328.0,8392.0,16039.0,10407.0,23500.0,17072.0,7805.0,3301.0,5744.0,2752.0,2493.0,3997.0,1960.0,2329.0,255.0,21249.0,1074.0,17842.0,6269.0,1409.0,209.0,5416.0,31926.0,6992.0,821.0,2752.0,1333.0,59922.0,40624.0,2752.0,2535.0,5275.0,98237.0,2321.0,4075.0,132.0,23.0,7.0,137.0,5.0,54.0,7.0,5.0,830.0,98237.0,2321.0,48296.0,579.0,1991.0,2084.0,14226.0,6208.0,4052.0,2581.0,24602.0,1214.0,53753.0,1214.0,471.0,1877.0,1867.0,176.0,125.0,2749.0,6632.0,1937.0,1512.0,1300.0,2213.0,1281.0,4435.0,2745.0,1041.0,3584.0,3088.0,806.0,991.0,5965.0,68.0,6003.0
55,13,131,13116,192882,194785,29968,43659,266098,44379,14453,51056.0,41589.0,625.0,215.0,32.0,82.0,160.0,2921.0,2124.0,26930.0,64324.0,4390.0,3160.0,5818.0,8292.0,11751.0,9956.0,30297.0,5992.0,6133.0,2836.0,8786.0,4390.0,4553.0,2204.0,1471.0,2078.0,548.0,27255.0,4457.0,23727.0,17230.0,2147.0,631.0,4462.0,5543.0,97.0,8.0,4390.0,2556.0,46323.0,44372.0,4390.0,3719.0,11188.0,83894.0,3722.0,10229.0,161.0,22.0,5.0,58.0,19.0,147.0,3.0,8.0,536.0,83894.0,3722.0,41828.0,587.0,1734.0,4332.0,6908.0,9636.0,8800.0,3412.0,19459.0,2108.0,52547.0,2108.0,184.0,109.0,4048.0,144.0,186.0,4711.0,8970.0,4069.0,1622.0,758.0,463.0,204.0,904.0,3488.0,1266.0,1586.0,1514.0,316.0,1217.0,1346.0,6.0,7038.0
56,13,131,13117,215070,227486,30134,44035,297334,63453,30288,35368.0,51912.0,3503.0,225.0,154.0,233.0,1289.0,1590.0,1975.0,25970.0,64299.0,3705.0,2275.0,5243.0,7694.0,11808.0,10573.0,30404.0,6980.0,6506.0,2320.0,7316.0,3705.0,3700.0,2156.0,1259.0,1743.0,528.0,22718.0,4270.0,23226.0,15147.0,3002.0,834.0,6425.0,8800.0,297.0,37.0,3705.0,2102.0,48649.0,40770.0,3705.0,3125.0,13274.0,79700.0,3275.0,12007.0,198.0,34.0,10.0,199.0,6.0,107.0,8.0,4.0,701.0,79700.0,3275.0,42927.0,556.0,1965.0,3648.0,6995.0,7661.0,9950.0,3251.0,17494.0,1802.0,48999.0,1802.0,91.0,118.0,3378.0,162.0,143.0,4737.0,8192.0,4165.0,1930.0,942.0,770.0,197.0,1410.0,3852.0,1335.0,1989.0,1943.0,400.0,1296.0,2464.0,7.0,5927.0
57,13,131,13118,311993,347580,41268,57304,451123,95438,34375,34633.0,73580.0,1974.0,455.0,160.0,271.0,1015.0,2803.0,1643.0,32213.0,78533.0,3694.0,2094.0,6495.0,8262.0,15295.0,13317.0,33940.0,15639.0,8096.0,2492.0,5888.0,3694.0,3416.0,3033.0,1394.0,1964.0,443.0,18654.0,3537.0,22452.0,13567.0,4364.0,1291.0,10973.0,26675.0,2169.0,373.0,3694.0,1951.0,67279.0,42345.0,3694.0,3216.0,11551.0,102329.0,2654.0,10162.0,273.0,82.0,16.0,86.0,20.0,229.0,20.0,5.0,658.0,102329.0,2654.0,55394.0,639.0,2599.0,4031.0,9750.0,7504.0,12158.0,3493.0,19497.0,1469.0,56433.0,1469.0,118.0,285.0,3539.0,214.0,188.0,3707.0,9489.0,3404.0,2431.0,2368.0,1837.0,456.0,3347.0,3277.0,3222.0,4956.0,3847.0,871.0,1753.0,2086.0,13.0,7224.0
58,13,131,13119,2173945,2352288,293874,529712,3250569,321208,91230,164629.0,337062.0,3224.0,1686.0,249.0,1207.0,1965.0,5029.0,6576.0,163130.0,331495.0,17909.0,9093.0,29753.0,40067.0,67802.0,59133.0,171352.0,52756.0,27639.0,11786.0,29519.0,17909.0,13911.0,11899.0,7257.0,10108.0,2042.0,97472.0,11728.0,123207.0,75172.0,13397.0,4992.0,49656.0,84341.0,3943.0,393.0,17909.0,8111.0,293205.0,197701.0,17909.0,12812.0,51728.0,458864.0,11035.0,47225.0,1076.0,214.0,78.0,219.0,70.0,671.0,67.0,39.0,2069.0,458864.0,11035.0,236603.0,2930.0,11037.0,18086.0,52019.0,45081.0,33822.0,14386.0,100843.0,6820.0,264237.0,6820.0,1218.0,1259.0,19347.0,860.0,828.0,14909.0,46536.0,22906.0,8932.0,7587.0,7345.0,1328.0,10422.0,15326.0,11921.0,16376.0,14109.0,2370.0,5842.0,7520.0,49.0,33580.0
59,13,131,13120,588760,700573,85796,94480,909517,182102,98379,46311.0,141709.0,1901.0,1618.0,352.0,612.0,2021.0,10404.0,3309.0,54998.0,143833.0,5594.0,3812.0,11335.0,12535.0,29145.0,22090.0,48753.0,42507.0,18939.0,4842.0,6855.0,5594.0,5642.0,5930.0,2353.0,2961.0,511.0,19754.0,3042.0,25163.0,12983.0,7757.0,1817.0,18408.0,83151.0,13086.0,2448.0,5594.0,3279.0,136258.0,60795.0,5594.0,5590.0,14099.0,189666.0,4472.0,11293.0,543.0,125.0,69.0,151.0,56.0,370.0,55.0,25.0,1412.0,189666.0,4472.0,106734.0,1298.0,5074.0,6364.0,18255.0,10079.0,20755.0,5667.0,31000.0,3011.0,92120.0,3011.0,331.0,1131.0,4988.0,544.0,239.0,4153.0,14180.0,4297.0,3830.0,6647.0,5292.0,1512.0,11473.0,3601.0,8032.0,12698.0,10544.0,2338.0,2245.0,1787.0,126.0,13118.0
60,13,131,13121,178004,185905,23897,35063,246490,51300,17945,45303.0,47904.0,1196.0,262.0,89.0,81.0,427.0,3549.0,2363.0,27179.0,67397.0,3738.0,2860.0,5846.0,7887.0,12190.0,10424.0,32214.0,7567.0,6609.0,2504.0,7435.0,3738.0,4760.0,2473.0,1285.0,2019.0,428.0,23162.0,4516.0,23719.0,17115.0,3181.0,1133.0,5920.0,9468.0,353.0,57.0,3738.0,2607.0,51038.0,42284.0,3738.0,4114.0,10647.0,86516.0,4011.0,9332.0,232.0,70.0,3.0,60.0,18.0,163.0,28.0,32.0,709.0,86516.0,4011.0,43734.0,688.0,1878.0,4241.0,7228.0,8660.0,10729.0,3363.0,18056.0,2597.0,52277.0,2597.0,155.0,113.0,3415.0,117.0,132.0,3852.0,9437.0,3920.0,1733.0,898.0,644.0,223.0,1443.0,3680.0,1574.0,2283.0,1981.0,369.0,1298.0,1394.0,6.0,7633.0
61,13,131,13122,714708,768490,103132,186071,1036760,126352,60760,90719.0,136048.0,4885.0,926.0,327.0,471.0,1364.0,3170.0,3689.0,75962.0,152263.0,8459.0,4915.0,15733.0,19144.0,31588.0,25173.0,68900.0,24178.0,15807.0,7095.0,18003.0,8459.0,7519.0,7113.0,3515.0,4919.0,1028.0,57978.0,7078.0,49086.0,33462.0,4317.0,1222.0,15375.0,38263.0,4708.0,705.0,8459.0,4371.0,126071.0,100118.0,8459.0,6951.0,30534.0,205930.0,5135.0,27805.0,494.0,130.0,29.0,259.0,30.0,307.0,43.0,11.0,1426.0,205930.0,5135.0,110611.0,1409.0,4594.0,8477.0,22555.0,16948.0,16800.0,7363.0,49145.0,3697.0,121288.0,3697.0,347.0,649.0,5801.0,381.0,444.0,12238.0,19545.0,6899.0,4544.0,3270.0,2828.0,758.0,5274.0,7819.0,4359.0,6972.0,6443.0,1285.0,3147.0,7759.0,30.0,15822.0
62,13,131,13123,548103,643650,72235,70631,846902,187730,131384,23390.0,98497.0,1815.0,2197.0,441.0,494.0,1324.0,11679.0,2242.0,35073.0,100621.0,3737.0,2648.0,6726.0,8324.0,22143.0,13541.0,29072.0,32150.0,14660.0,3765.0,4051.0,3737.0,3910.0,3789.0,1291.0,1610.0,201.0,9783.0,1076.0,12244.0,5483.0,5127.0,862.0,9796.0,66862.0,15110.0,2885.0,3737.0,2223.0,97759.0,36772.0,3737.0,3811.0,7033.0,131992.0,3054.0,4908.0,333.0,139.0,54.0,161.0,22.0,252.0,50.0,10.0,1104.0,131992.0,3054.0,76671.0,1174.0,3934.0,3682.0,13270.0,5671.0,13925.0,4097.0,17744.0,1911.0,58389.0,1911.0,395.0,983.0,2831.0,465.0,161.0,2419.0,8113.0,2187.0,2877.0,5631.0,3918.0,1392.0,11622.0,2011.0,5852.0,8772.0,8131.0,1870.0,1404.0,1568.0,297.0,8880.0
63,13,131,13124,1400331,1493088,209173,339671,2097414,181080,67365,82074.0,135941.0,2374.0,1113.0,197.0,425.0,1450.0,2622.0,4097.0,69864.0,145943.0,9177.0,5309.0,14422.0,18009.0,28900.0,24362.0,71927.0,19855.0,12422.0,5917.0,17165.0,9177.0,8137.0,5744.0,3615.0,4831.0,1125.0,53629.0,5959.0,52151.0,37413.0,4054.0,1327.0,16735.0,27856.0,1605.0,223.0,9177.0,4849.0,120352.0,93626.0,9177.0,7138.0,28298.0,195604.0,6391.0,26179.0,332.0,97.0,19.0,164.0,20.0,242.0,33.0,23.0,1189.0,195604.0,6391.0,104857.0,1209.0,5165.0,8369.0,19086.0,19150.0,14027.0,6328.0,48005.0,4097.0,114965.0,4097.0,751.0,591.0,7620.0,363.0,387.0,9275.0,20598.0,11408.0,4542.0,2946.0,2721.0,513.0,3597.0,8150.0,4463.0,5429.0,5311.0,965.0,2642.0,4207.0,23.0,14729.0
64,13,131,13125,1698471,1756396,246973,472905,2484924,152287,254382,55709.0,135102.0,3155.0,747.0,237.0,399.0,1165.0,10282.0,3614.0,69266.0,126784.0,8820.0,5540.0,13375.0,16616.0,26592.0,22011.0,68766.0,16464.0,9622.0,5671.0,14439.0,8820.0,8034.0,4957.0,3464.0,4700.0,1040.0,49133.0,3115.0,51881.0,33476.0,2645.0,1045.0,16201.0,23534.0,1099.0,124.0,8820.0,5176.0,110106.0,84059.0,8820.0,7425.0,23147.0,179631.0,7632.0,20593.0,461.0,76.0,11.0,139.0,32.0,326.0,28.0,14.0,1467.0,179631.0,7632.0,96007.0,1206.0,4414.0,7616.0,18148.0,16559.0,7753.0,6530.0,47901.0,4276.0,104507.0,4276.0,529.0,727.0,10214.0,292.0,603.0,7421.0,17870.0,9632.0,3804.0,2364.0,1914.0,417.0,3144.0,6781.0,3621.0,4675.0,4304.0,742.0,1817.0,3073.0,18.0,17665.0
